,REF_DATE,GEO,Institution type,Credential type,Registration status,Sex,VALUE
96,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",52791.0
97,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,34950.0
98,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,17841.0
99,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Sex unknown,
100,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",38961.0
101,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,26670.0
102,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,12291.0
103,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Sex unknown,
104,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,"Total, sex",13830.0
105,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Males,8283.0
106,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Females,5550.0
107,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Sex unknown,
315,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status","Total, sex",3552.0
316,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Males,2118.0
317,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Females,1434.0
318,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Sex unknown,
319,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,"Total, sex",366.0
320,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Males,240.0
321,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Females,126.0
322,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Sex unknown,
323,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,"Total, sex",3186.0
324,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Males,1878.0
325,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Females,1308.0
326,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Sex unknown,
482,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status","Total, sex",198.0
483,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Males,78.0
484,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Females,120.0
485,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Sex unknown,
486,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,"Total, sex",96.0
487,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Males,48.0
488,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Females,45.0
489,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Sex unknown,
490,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,"Total, sex",105.0
491,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Males,27.0
492,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Females,78.0
