,REF_DATE,GEO,Institution type,Registration status,Sex,VALUE
10000,1992/1993,Canada,University,Full-time student,Males,15945.0
10001,1992/1993,Canada,University,Full-time student,Females,6783.0
10004,1992/1993,Canada,University,Part-time student,Males,6108.0
10005,1992/1993,Canada,University,Part-time student,Females,3099.0
10182,1992/1993,Canada,University,Full-time student,Males,240.0
10183,1992/1993,Canada,University,Full-time student,Females,126.0
10185,1992/1993,Canada,University,Part-time student,Males,1878.0
10186,1992/1993,Canada,University,Part-time student,Females,1308.0
10328,1992/1993,Canada,University,Full-time student,Males,48.0
10329,1992/1993,Canada,University,Full-time student,Females,45.0
10332,1992/1993,Canada,University,Part-time student,Males,27.0
10333,1992/1993,Canada,University,Part-time student,Females,78.0
10488,1992/1993,Canada,University,Full-time student,Males,15588.0
10489,1992/1993,Canada,University,Full-time student,Females,6597.0
10492,1992/1993,Canada,University,Part-time student,Males,3888.0
10493,1992/1993,Canada,University,Part-time student,Females,1602.0
10635,1992/1993,Canada,University,Full-time student,Males,
10636,1992/1993,Canada,University,Full-time student,Females,
10638,1992/1993,Canada,University,Part-time student,Males,
10639,1992/1993,Canada,University,Part-time student,Females,
10749,1992/1993,Canada,University,Full-time student,Males,
10750,1992/1993,Canada,University,Full-time student,Females,
10752,1992/1993,Canada,University,Part-time student,Males,
10753,1992/1993,Canada,University,Part-time student,Females,
10840,1992/1993,Canada,University,Full-time student,Males,
10841,1992/1993,Canada,University,Full-time student,Females,
10843,1992/1993,Canada,University,Part-time student,Males,
10844,1992/1993,Canada,University,Part-time student,Females,
10995,1992/1993,Canada,University,Full-time student,Males,66.0
10996,1992/1993,Canada,University,Full-time student,Females,21.0
10998,1992/1993,Canada,University,Part-time student,Males,318.0
10999,1992/1993,Canada,University,Part-time student,Females,111.0
11519,1992/1993,Canada,University,Full-time student,Males,
11520,1992/1993,Canada,University,Full-time student,Females,
11523,1992/1993,Canada,University,Part-time student,Males,
11524,1992/1993,Canada,University,Part-time student,Females,
11674,1992/1993,Canada,University,Full-time student,Males,
11675,1992/1993,Canada,University,Full-time student,Females,
11677,1992/1993,Canada,University,Part-time student,Males,
11678,1992/1993,Canada,University,Part-time student,Females,
11809,1992/1993,Canada,University,Full-time student,Males,
11810,1992/1993,Canada,University,Full-time student,Females,
11813,1992/1993,Canada,University,Part-time student,Males,
11814,1992/1993,Canada,University,Part-time student,Females,
11930,1992/1993,Canada,University,Part-time student,Males,
11931,1992/1993,Canada,University,Part-time student,Females,
12415,1992/1993,Canada,University,Full-time student,Males,
12416,1992/1993,Canada,University,Full-time student,Females,
12517,1992/1993,Canada,University,Full-time student,Males,
12518,1992/1993,Canada,University,Full-time student,Females,
12748,1992/1993,Canada,University,Full-time student,Males,13518.0
12749,1992/1993,Canada,University,Full-time student,Females,5553.0
12752,1992/1993,Canada,University,Part-time student,Males,5193.0
12753,1992/1993,Canada,University,Part-time student,Females,2604.0
12909,1992/1993,Canada,University,Full-time student,Males,240.0
12910,1992/1993,Canada,University,Full-time student,Females,126.0
12912,1992/1993,Canada,University,Part-time student,Males,1878.0
12913,1992/1993,Canada,University,Part-time student,Females,1308.0
13048,1992/1993,Canada,University,Full-time student,Males,6.0
13049,1992/1993,Canada,University,Full-time student,Females,18.0
13052,1992/1993,Canada,University,Part-time student,Males,3.0
13053,1992/1993,Canada,University,Part-time student,Females,24.0
13202,1992/1993,Canada,University,Full-time student,Males,13272.0
13203,1992/1993,Canada,University,Full-time student,Females,5412.0
13206,1992/1993,Canada,University,Part-time student,Males,3312.0
13207,1992/1993,Canada,University,Part-time student,Females,1275.0
13336,1992/1993,Canada,University,Full-time student,Males,
13337,1992/1993,Canada,University,Full-time student,Females,
13339,1992/1993,Canada,University,Part-time student,Males,
13340,1992/1993,Canada,University,Part-time student,Females,
13448,1992/1993,Canada,University,Full-time student,Males,
13449,1992/1993,Canada,University,Full-time student,Females,
13451,1992/1993,Canada,University,Part-time student,Males,
13452,1992/1993,Canada,University,Part-time student,Females,
13495,1992/1993,Canada,University,Full-time student,Females,
13562,1992/1993,Canada,University,Full-time student,Males,
13563,1992/1993,Canada,University,Full-time student,Females,
13565,1992/1993,Canada,University,Part-time student,Males,
13566,1992/1993,Canada,University,Part-time student,Females,
13690,1992/1993,Canada,University,Full-time student,Males,
13691,1992/1993,Canada,University,Full-time student,Females,
13693,1992/1993,Canada,University,Part-time student,Males,
13694,1992/1993,Canada,University,Part-time student,Females,
13821,1992/1993,Canada,University,Full-time student,Males,
13822,1992/1993,Canada,University,Full-time student,Females,
13824,1992/1993,Canada,University,Part-time student,Males,
13825,1992/1993,Canada,University,Part-time student,Females,
13945,1992/1993,Canada,University,Full-time student,Males,
13946,1992/1993,Canada,University,Full-time student,Females,
13948,1992/1993,Canada,University,Part-time student,Males,
13949,1992/1993,Canada,University,Part-time student,Females,
14059,1992/1993,Canada,University,Full-time student,Males,
14060,1992/1993,Canada,University,Full-time student,Females,
14231,1992/1993,Canada,University,Full-time student,Males,33.0
14232,1992/1993,Canada,University,Full-time student,Females,9.0
14234,1992/1993,Canada,University,Part-time student,Males,24.0
14235,1992/1993,Canada,University,Part-time student,Females,9.0
14316,1992/1993,Canada,University,Full-time student,Males,
14317,1992/1993,Canada,University,Full-time student,Females,
14319,1992/1993,Canada,University,Part-time student,Females,
14403,1992/1993,Canada,University,Full-time student,Males,33.0
14404,1992/1993,Canada,University,Full-time student,Females,9.0
14406,1992/1993,Canada,University,Part-time student,Males,24.0
14407,1992/1993,Canada,University,Part-time student,Females,9.0
14509,1992/1993,Canada,University,Full-time student,Males,3.0
14510,1992/1993,Canada,University,Full-time student,Females,0.0
14512,1992/1993,Canada,University,Part-time student,Males,
14610,1992/1993,Canada,University,Full-time student,Males,3.0
14611,1992/1993,Canada,University,Full-time student,Females,0.0
14613,1992/1993,Canada,University,Part-time student,Males,
14908,1992/1993,Canada,University,Full-time student,Males,1425.0
14909,1992/1993,Canada,University,Full-time student,Females,1002.0
14912,1992/1993,Canada,University,Part-time student,Males,471.0
14913,1992/1993,Canada,University,Part-time student,Females,351.0
15056,1992/1993,Canada,University,Full-time student,Males,
15057,1992/1993,Canada,University,Full-time student,Females,
15059,1992/1993,Canada,University,Part-time student,Males,
15060,1992/1993,Canada,University,Part-time student,Females,
15170,1992/1993,Canada,University,Full-time student,Males,45.0
15171,1992/1993,Canada,University,Full-time student,Females,27.0
15173,1992/1993,Canada,University,Part-time student,Males,24.0
15174,1992/1993,Canada,University,Part-time student,Females,54.0
15308,1992/1993,Canada,University,Full-time student,Males,1377.0
15309,1992/1993,Canada,University,Full-time student,Females,975.0
15312,1992/1993,Canada,University,Part-time student,Males,447.0
15313,1992/1993,Canada,University,Part-time student,Females,297.0
15446,1992/1993,Canada,University,Full-time student,Males,
15447,1992/1993,Canada,University,Full-time student,Females,
15449,1992/1993,Canada,University,Part-time student,Males,
15450,1992/1993,Canada,University,Part-time student,Females,
15682,1992/1993,Canada,University,Full-time student,Males,936.0
15683,1992/1993,Canada,University,Full-time student,Females,210.0
15686,1992/1993,Canada,University,Part-time student,Males,129.0
15687,1992/1993,Canada,University,Part-time student,Females,33.0
15913,1992/1993,Canada,University,Full-time student,Males,936.0
15914,1992/1993,Canada,University,Full-time student,Females,210.0
15917,1992/1993,Canada,University,Part-time student,Males,129.0
15918,1992/1993,Canada,University,Part-time student,Females,33.0
16178,1992/1993,Canada,University,Full-time student,Males,
16179,1992/1993,Canada,University,Full-time student,Females,
16181,1992/1993,Canada,University,Part-time student,Males,
16182,1992/1993,Canada,University,Part-time student,Females,
16304,1992/1993,Canada,University,Part-time student,Males,
16305,1992/1993,Canada,University,Part-time student,Females,
16398,1992/1993,Canada,University,Full-time student,Males,
16399,1992/1993,Canada,University,Full-time student,Females,
16533,1992/1993,Canada,University,Full-time student,Males,
16535,1992/1993,Canada,University,Part-time student,Males,
16536,1992/1993,Canada,University,Part-time student,Females,
16645,1992/1993,Canada,University,Full-time student,Males,
16646,1992/1993,Canada,University,Full-time student,Females,
16648,1992/1993,Canada,University,Part-time student,Males,
16649,1992/1993,Canada,University,Part-time student,Females,
16754,1992/1993,Canada,University,Part-time student,Males,
16842,1992/1993,Canada,University,Part-time student,Males,
16963,1992/1993,Canada,University,Full-time student,Males,24.0
16964,1992/1993,Canada,University,Full-time student,Females,6.0
16966,1992/1993,Canada,University,Part-time student,Males,243.0
16967,1992/1993,Canada,University,Part-time student,Females,72.0
17115,1992/1993,Canada,University,Full-time student,Males,24.0
17116,1992/1993,Canada,University,Full-time student,Females,6.0
17118,1992/1993,Canada,University,Part-time student,Males,243.0
17119,1992/1993,Canada,University,Part-time student,Females,72.0
17252,1992/1993,Canada,University,Full-time student,Males,9.0
17253,1992/1993,Canada,University,Full-time student,Females,3.0
17255,1992/1993,Canada,University,Part-time student,Males,54.0
17256,1992/1993,Canada,University,Part-time student,Females,33.0
17391,1992/1993,Canada,University,Full-time student,Males,9.0
17392,1992/1993,Canada,University,Full-time student,Females,3.0
17394,1992/1993,Canada,University,Part-time student,Males,54.0
17395,1992/1993,Canada,University,Part-time student,Females,33.0
17533,1992/1993,Canada,University,Part-time student,Males,
17534,1992/1993,Canada,University,Part-time student,Females,
17663,1992/1993,Canada,University,Part-time student,Males,
17664,1992/1993,Canada,University,Part-time student,Females,
17810,1992/1993,Canada,College,Full-time student,Males,10725.0
17811,1992/1993,Canada,College,Full-time student,Females,5508.0
17814,1992/1993,Canada,College,Part-time student,Males,2172.0
17815,1992/1993,Canada,College,Part-time student,Females,2451.0
18029,1992/1993,Canada,College,Full-time student,Males,
18030,1992/1993,Canada,College,Full-time student,Females,
18033,1992/1993,Canada,College,Part-time student,Males,
18034,1992/1993,Canada,College,Part-time student,Females,
18196,1992/1993,Canada,College,Full-time student,Males,
18197,1992/1993,Canada,College,Full-time student,Females,
18200,1992/1993,Canada,College,Part-time student,Males,
18201,1992/1993,Canada,College,Part-time student,Females,
18352,1992/1993,Canada,College,Full-time student,Males,
18353,1992/1993,Canada,College,Full-time student,Females,
18356,1992/1993,Canada,College,Part-time student,Males,
18357,1992/1993,Canada,College,Part-time student,Females,
18508,1992/1993,Canada,College,Full-time student,Males,
18509,1992/1993,Canada,College,Full-time student,Females,
18511,1992/1993,Canada,College,Part-time student,Males,
18512,1992/1993,Canada,College,Part-time student,Females,
18651,1992/1993,Canada,College,Full-time student,Males,
18652,1992/1993,Canada,College,Full-time student,Females,
18654,1992/1993,Canada,College,Part-time student,Males,
18655,1992/1993,Canada,College,Part-time student,Females,
18795,1992/1993,Canada,College,Full-time student,Males,10725.0
18796,1992/1993,Canada,College,Full-time student,Females,5508.0
18799,1992/1993,Canada,College,Part-time student,Males,2172.0
18800,1992/1993,Canada,College,Part-time student,Females,2451.0
18958,1992/1993,Canada,College,Full-time student,Males,
18959,1992/1993,Canada,College,Full-time student,Females,
18962,1992/1993,Canada,College,Part-time student,Males,
18963,1992/1993,Canada,College,Part-time student,Females,
19104,1992/1993,Canada,College,Full-time student,Males,
19105,1992/1993,Canada,College,Full-time student,Females,
19107,1992/1993,Canada,College,Part-time student,Males,
19108,1992/1993,Canada,College,Part-time student,Females,
19272,1992/1993,Canada,College,Part-time student,Females,
19354,1992/1993,Canada,College,Full-time student,Males,
19355,1992/1993,Canada,College,Full-time student,Females,
19357,1992/1993,Canada,College,Part-time student,Males,
19358,1992/1993,Canada,College,Part-time student,Females,
19611,1992/1993,Canada,College,Part-time student,Males,
19716,1992/1993,Canada,College,Full-time student,Males,
19717,1992/1993,Canada,College,Full-time student,Females,
19818,1992/1993,Canada,College,Full-time student,Males,
19819,1992/1993,Canada,College,Full-time student,Females,
20162,1992/1993,Canada,College,Full-time student,Males,10725.0
20163,1992/1993,Canada,College,Full-time student,Females,5508.0
20166,1992/1993,Canada,College,Part-time student,Males,2172.0
20167,1992/1993,Canada,College,Part-time student,Females,2451.0
20329,1992/1993,Canada,College,Full-time student,Males,
20330,1992/1993,Canada,College,Full-time student,Females,
20333,1992/1993,Canada,College,Part-time student,Males,
20334,1992/1993,Canada,College,Part-time student,Females,
20496,1992/1993,Canada,College,Full-time student,Males,
20497,1992/1993,Canada,College,Full-time student,Females,
20500,1992/1993,Canada,College,Part-time student,Males,
20501,1992/1993,Canada,College,Part-time student,Females,
20656,1992/1993,Canada,College,Full-time student,Males,
20657,1992/1993,Canada,College,Full-time student,Females,
20659,1992/1993,Canada,College,Part-time student,Males,
20660,1992/1993,Canada,College,Part-time student,Females,
20812,1992/1993,Canada,College,Full-time student,Males,10725.0
20813,1992/1993,Canada,College,Full-time student,Females,5508.0
20816,1992/1993,Canada,College,Part-time student,Males,2172.0
20817,1992/1993,Canada,College,Part-time student,Females,2451.0
20972,1992/1993,Canada,College,Full-time student,Males,
20973,1992/1993,Canada,College,Full-time student,Females,
20976,1992/1993,Canada,College,Part-time student,Males,
20977,1992/1993,Canada,College,Part-time student,Females,
21116,1992/1993,Canada,College,Full-time student,Males,
21117,1992/1993,Canada,College,Full-time student,Females,
21120,1992/1993,Canada,College,Part-time student,Males,
21121,1992/1993,Canada,College,Part-time student,Females,
21262,1992/1993,Canada,College,Full-time student,Males,
21263,1992/1993,Canada,College,Full-time student,Females,
21266,1992/1993,Canada,College,Part-time student,Males,
21267,1992/1993,Canada,College,Part-time student,Females,
21378,1992/1993,Canada,College,Full-time student,Males,
21379,1992/1993,Canada,College,Full-time student,Females,
21381,1992/1993,Canada,College,Part-time student,Males,
21382,1992/1993,Canada,College,Part-time student,Females,
21570,1992/1993,Canada,College,Full-time student,Males,
21571,1992/1993,Canada,College,Full-time student,Females,
21573,1992/1993,Canada,College,Part-time student,Males,
21574,1992/1993,Canada,College,Part-time student,Females,
21674,1992/1993,Canada,College,Full-time student,Males,
21675,1992/1993,Canada,College,Full-time student,Females,
21677,1992/1993,Canada,College,Part-time student,Males,
21678,1992/1993,Canada,College,Part-time student,Females,
21837,1992/1993,Canada,College,Full-time student,Males,
21838,1992/1993,Canada,College,Full-time student,Females,
21841,1992/1993,Canada,College,Part-time student,Males,
21842,1992/1993,Canada,College,Part-time student,Females,
21990,1992/1993,Canada,College,Full-time student,Males,
21991,1992/1993,Canada,College,Full-time student,Females,
21994,1992/1993,Canada,College,Part-time student,Males,
22182,1992/1993,Canada,College,Full-time student,Males,
22183,1992/1993,Canada,College,Full-time student,Females,
22186,1992/1993,Canada,College,Part-time student,Males,
22187,1992/1993,Canada,College,Part-time student,Females,
22322,1992/1993,Canada,College,Full-time student,Males,
22323,1992/1993,Canada,College,Full-time student,Females,
22325,1992/1993,Canada,College,Part-time student,Males,
22326,1992/1993,Canada,College,Part-time student,Females,
22459,1992/1993,Canada,College,Full-time student,Males,
22460,1992/1993,Canada,College,Full-time student,Females,
22462,1992/1993,Canada,College,Part-time student,Males,
22463,1992/1993,Canada,College,Part-time student,Females,
22557,1992/1993,Canada,College,Full-time student,Males,
22558,1992/1993,Canada,College,Full-time student,Females,
22560,1992/1993,Canada,College,Part-time student,Males,
22561,1992/1993,Canada,College,Part-time student,Females,
22681,1992/1993,Canada,College,Full-time student,Males,
22682,1992/1993,Canada,College,Full-time student,Females,
22684,1992/1993,Canada,College,Part-time student,Males,
22685,1992/1993,Canada,College,Part-time student,Females,
23060,1992/1993,Canada,College,Full-time student,Males,
23061,1992/1993,Canada,College,Full-time student,Females,
23191,1992/1993,Canada,College,Full-time student,Males,
23192,1992/1993,Canada,College,Full-time student,Females,
23347,1992/1993,Canada,College,Full-time student,Males,
23348,1992/1993,Canada,College,Full-time student,Females,
23350,1992/1993,Canada,College,Part-time student,Males,
23351,1992/1993,Canada,College,Part-time student,Females,
23504,1992/1993,Canada,College,Full-time student,Males,
23505,1992/1993,Canada,College,Full-time student,Females,
23507,1992/1993,Canada,College,Part-time student,Males,
23508,1992/1993,Canada,College,Part-time student,Females,
23656,1992/1993,Canada,College,Full-time student,Males,
23657,1992/1993,Canada,College,Full-time student,Females,
23659,1992/1993,Canada,College,Part-time student,Males,
23660,1992/1993,Canada,College,Part-time student,Females,
23800,1992/1993,Canada,College,Full-time student,Males,
23801,1992/1993,Canada,College,Full-time student,Females,
23803,1992/1993,Canada,College,Part-time student,Males,
23804,1992/1993,Canada,College,Part-time student,Females,
23964,1992/1993,Canada,College,Full-time student,Males,
23965,1992/1993,Canada,College,Full-time student,Females,
23967,1992/1993,Canada,College,Part-time student,Males,
23968,1992/1993,Canada,College,Part-time student,Females,
24118,1992/1993,Canada,College,Full-time student,Males,
24119,1992/1993,Canada,College,Full-time student,Females,
24121,1992/1993,Canada,College,Part-time student,Males,
24122,1992/1993,Canada,College,Part-time student,Females,
138298,1993/1994,Canada,University,Full-time student,Males,16356.0
138299,1993/1994,Canada,University,Full-time student,Females,6939.0
138302,1993/1994,Canada,University,Part-time student,Males,6342.0
138303,1993/1994,Canada,University,Part-time student,Females,2973.0
138480,1993/1994,Canada,University,Full-time student,Males,312.0
138481,1993/1994,Canada,University,Full-time student,Females,114.0
138483,1993/1994,Canada,University,Part-time student,Males,1773.0
138484,1993/1994,Canada,University,Part-time student,Females,1137.0
138626,1993/1994,Canada,University,Full-time student,Males,54.0
138627,1993/1994,Canada,University,Full-time student,Females,51.0
138630,1993/1994,Canada,University,Part-time student,Males,42.0
138631,1993/1994,Canada,University,Part-time student,Females,84.0
138786,1993/1994,Canada,University,Full-time student,Males,15918.0
138787,1993/1994,Canada,University,Full-time student,Females,6744.0
138790,1993/1994,Canada,University,Part-time student,Males,4119.0
138791,1993/1994,Canada,University,Part-time student,Females,1605.0
138933,1993/1994,Canada,University,Full-time student,Males,
138934,1993/1994,Canada,University,Full-time student,Females,
138936,1993/1994,Canada,University,Part-time student,Males,
138937,1993/1994,Canada,University,Part-time student,Females,
139047,1993/1994,Canada,University,Full-time student,Males,
139048,1993/1994,Canada,University,Full-time student,Females,
139050,1993/1994,Canada,University,Part-time student,Males,
139051,1993/1994,Canada,University,Part-time student,Females,
139138,1993/1994,Canada,University,Full-time student,Males,
139139,1993/1994,Canada,University,Full-time student,Females,
